,club_id,game_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
7,1411,2224956,1,7,Enzo Scifo,1184,5,3,Mario Been,Home,0
10,58,2219794,3,-1,John van den Brom,498,2,-1,Peter Maes,Home,1
1441,354,2224954,2,8,Harm van Veldhoven,3508,3,2,Francky Dury,Home,0
1444,601,2224951,0,9,Hein Vanhaezebrouck,2727,0,10,Ronny Van Geneugden,Home,0
1446,566,2224947,3,15,Jacky Mathijssen,520,1,16,Foeke Booy,Home,1
1448,3057,2224942,0,6,Mircea Rednic,498,2,5,Peter Maes,Home,0
1449,58,2224953,1,1,John van den Brom,354,0,8,Harm van Veldhoven,Home,1
1450,204,2224945,1,14,Hany Ramzy,601,0,9,Hein Vanhaezebrouck,Home,1
1452,28643,2224940,3,13,Glen De Boeck,566,2,15,Jacky Mathijssen,Home,1
1453,520,2224941,1,16,Foeke Booy,1411,3,7,Enzo Scifo,Home,0
1454,2727,2224935,0,10,Ronny Van Geneugden,3057,4,5,Mircea Rednic,Home,0
1455,1184,2224937,3,3,Mario Been,157,2,11,Víctor Fernández,Home,1
1456,498,2224933,1,6,Peter Maes,172,1,12,Luka Peruzovic,Home,0
1457,172,2224949,0,12,Luka Peruzovic,3508,1,2,Francky Dury,Home,0
1458,3057,2224950,0,5,Mircea Rednic,1184,0,3,Mario Been,Home,0
1459,3508,2224936,1,2,Francky Dury,2282,2,4,Juan Carlos Garrido,Home,0
1460,601,2224955,0,9,Hein Vanhaezebrouck,1411,1,8,Enzo Scifo,Home,0
1461,2282,2224939,3,4,Juan Carlos Garrido,204,0,14,Eric Van Meir,Home,1
1462,28643,2224957,0,13,Glen De Boeck,498,0,6,Peter Maes,Home,0
1463,566,2224944,1,15,Jacky Mathijssen,204,3,14,Hany Ramzy,Home,0
1464,157,2224948,2,11,Víctor Fernández,520,0,16,Foeke Booy,Home,1
1465,1184,2224885,2,3,Mario Been,601,0,8,Hein Vanhaezebrouck,Home,1
1466,498,2224879,1,6,Peter Maes,2282,1,4,Juan Carlos Garrido,Home,0
1467,3508,2224888,2,2,Francky Dury,28643,0,13,Glen De Boeck,Home,1
1468,204,2224881,0,14,Herman Vermeulen,354,2,7,Harm van Veldhoven,Home,0
1469,1411,2224883,0,9,Enzo Scifo,157,2,11,Víctor Fernández,Home,0
1470,2727,2224878,1,10,Ronny Van Geneugden,566,1,15,Jacky Mathijssen,Home,0
1471,520,2224884,0,16,Foeke Booy,3057,1,5,Mircea Rednic,Home,0
1472,58,2224895,2,1,John van den Brom,172,0,12,Luka Peruzovic,Home,1
1473,28643,2224899,1,13,Glen De Boeck,58,2,1,John van den Brom,Home,0
1474,354,2224952,1,7,Harm van Veldhoven,2727,2,10,Ronny Van Geneugden,Home,0
1475,498,2224889,1,5,Peter Maes,3508,1,2,Francky Dury,Home,0
1476,172,2224887,1,11,Yannick Ferrera,204,0,14,Herman Vermeulen,Home,1
1477,2282,2224912,3,3,Juan Carlos Garrido,2727,1,10,Ronny Van Geneugden,Home,1
1478,601,2224898,1,7,Hein Vanhaezebrouck,157,0,12,Víctor Fernández,Home,1
1479,566,2224894,0,15,Jacky Mathijssen,1184,2,4,Mario Been,Home,0
1480,58,2224909,2,1,John van den Brom,3057,2,4,Mircea Rednic,Home,0
1482,354,2224901,2,8,Harm van Veldhoven,520,0,16,Foeke Booy,Home,1
1483,1184,2224914,4,6,Mario Been,2282,1,5,Juan Carlos Garrido,Home,1
1484,601,2224916,2,7,Hein Vanhaezebrouck,354,1,8,Harm van Veldhoven,Home,1
1485,1411,2224913,3,9,Enzo Scifo,28643,0,13,Glen De Boeck,Home,1
1486,520,2224910,1,16,Foeke Booy,3508,2,2,Francky Dury,Home,0
1487,157,2224946,1,11,Víctor Fernández,58,1,1,John van den Brom,Home,0
1488,157,2224919,2,11,Víctor Fernández,566,1,15,Jacky Mathijssen,Home,1
1489,172,2224907,2,11,Luka Peruzovic,520,1,16,Foeke Booy,Home,1
1490,3057,2224890,0,6,Mircea Rednic,1411,1,9,Enzo Scifo,Home,0
1491,28643,2224908,2,12,Glen De Boeck,2727,0,10,Ronny Van Geneugden,Home,1
1492,3508,2224906,2,2,Francky Dury,204,0,14,Herman Vermeulen,Home,1
1493,566,2224905,0,15,Jacky Mathijssen,1411,0,9,Enzo Scifo,Home,0
1494,354,2224904,2,7,Harm van Veldhoven,1184,1,6,Mario Been,Home,1
1495,498,2224902,0,4,Peter Maes,58,2,1,John van den Brom,Home,0
1497,2282,2224938,2,4,Juan Carlos Garrido,58,2,1,John van den Brom,Home,0
1498,58,2224915,0,1,John van den Brom,3508,1,2,Francky Dury,Home,0
1499,2727,2224934,2,10,Ronny Van Geneugden,498,6,3,Peter Maes,Home,0
1500,520,2224926,0,16,Foeke Booy,2282,3,4,Juan Carlos Garrido,Home,0
1501,1411,2224931,2,9,Enzo Scifo,354,3,8,Harm van Veldhoven,Home,0
1502,3057,2224903,2,5,Mircea Rednic,601,0,8,Hein Vanhaezebrouck,Home,1
1503,2727,2224920,1,10,Ronny Van Geneugden,172,0,12,Yannick Ferrera,Home,1
1504,157,2224927,0,12,Víctor Fernández,3057,0,5,Mircea Rednic,Home,0
1505,3057,2224917,3,5,Mircea Rednic,566,0,15,Wim De Corte,Home,1
