,player_id,name,current_club_id,current_club_name,country_of_citizenship,country_of_birth,city_of_birth,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,agent_name,contract_expiration_date,current_club_domestic_competition_id,first_name,last_name,player_code,image_url,last_season,url
0,134354,Ian Raeymaekers,498,Ksc Lokeren,Belgium,Belgium,Aalst  ,1995-01-30,Attack,Centre-Forward,Right,0,,50000.0,,,BE1,Ian,Raeymaekers,ian-raeymaekers,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ian-raeymaekers/profil/spieler/134354
4,78820,Jaime Alfonso Ruiz,354,Kv Mechelen,Colombia,Colombia,Cali  ,1984-01-03,Attack,Centre-Forward,Right,184,,1700000.0,,,BE1,Jaime Alfonso,Ruiz,jaime-alfonso-ruiz,https://img.a.transfermarkt.technology/portrait/header/78820-1618410262.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jaime-alfonso-ruiz/profil/spieler/78820
99,129584,Yannick Haesevoets,354,Kv Mechelen,Belgium,,,1994-06-21,Defender,Left-Back,Left,182,,,,,BE1,Yannick,Haesevoets,yannick-haesevoets,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/yannick-haesevoets/profil/spieler/129584
100,28456,Boris Pandza,354,Kv Mechelen,Bosnia-Herzegovina,Jugoslawien (SFR),Mostar  ,1986-12-15,Defender,Centre-Back,Right,186,,1500000.0,,,BE1,Boris,Pandza,boris-pandza,https://img.a.transfermarkt.technology/portrait/header/28456-1460744921.jpg?lm=1,2012,https://www.transfermarkt.co.uk/boris-pandza/profil/spieler/28456
142,248338,Pepijn Vangansbeke,3508,Sv Zulte Waregem,Belgium,,,1993-06-27,Attack,Left Winger,,0,,,,,BE1,Pepijn,Vangansbeke,pepijn-vangansbeke,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/pepijn-vangansbeke/profil/spieler/248338
143,147457,Jérémy Serwy,3508,Sv Zulte Waregem,Belgium,Belgium,Liège  ,1991-06-04,Midfield,Right Midfield,Right,172,10000.0,500000.0,Soccerdome,,BE1,Jérémy,Serwy,jeremy-serwy,https://img.a.transfermarkt.technology/portrait/header/147457-1635937703.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jeremy-serwy/profil/spieler/147457
146,157889,Jasper Otte,3508,Sv Zulte Waregem,Belgium,,,1992-10-16,Goalkeeper,,,182,,50000.0,,2027-06-30,BE1,Jasper,Otte,jasper-otte,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/jasper-otte/profil/spieler/157889
153,37857,Ernest N'For,601,Kv Kortrijk,Cameroon,Cameroon,Bertoua  ,1986-04-28,Attack,Centre-Forward,Right,180,,1200000.0,Didier Moné,,BE1,Ernest,N'For,ernest-nfor,https://img.a.transfermarkt.technology/portrait/header/37857-1617018623.jpg?lm=1,2012,https://www.transfermarkt.co.uk/ernest-nfor/profil/spieler/37857
155,184729,Dieter Meulenyzer,601,Kv Kortrijk,Belgium,,,1991-04-11,Attack,Left Winger,,0,,75000.0,,,BE1,Dieter,Meulenyzer,dieter-meulenyzer,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/dieter-meulenyzer/profil/spieler/184729
156,263159,Olivier Verstraete,601,Kv Kortrijk,Belgium,,,1995-01-14,Attack,Attacking Midfield,,0,,,,,BE1,Olivier,Verstraete,olivier-verstraete,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2012,https://www.transfermarkt.co.uk/olivier-verstraete/profil/spieler/263159
